CP,Plaza,Estado,Municipio,Colonia,Zona,Caja 1KG,Costo por kilo adicional,Palet
04260,MEX,DISTRITO FEDERAL,COYOACAN,SAN FRANCISCO CULHUACAN BARRIO DE LA MAGDALENA,1,$113,$3,$915
04260,MEX,DISTRITO FEDERAL,COYOACAN,SAN FRANCISCO CULHUACAN BARRIO DE SAN FRANCISCO,1,$113,$3,$915
04260,MEX,DISTRITO FEDERAL,COYOACAN,SAN FRANCISCO CULHUACAN BARRIO DE SANTA ANA,1,$113,$3,$915
04260,MEX,DISTRITO FEDERAL,COYOACAN,SAN FRANCISCO CULHUACAN BARRIO DE SAN JUAN,1,$113,$3,$915
04270,MEX,DISTRITO FEDERAL,COYOACAN,SANTA MARTHA DEL SUR QUETZALCOATL,1,$113,$3,$915
04280,MEX,DISTRITO FEDERAL,COYOACAN,TAXQUENA,1,$113,$3,$915
04300,MEX,DISTRITO FEDERAL,COYOACAN,AJUSCO,1,$113,$3,$915
04310,MEX,DISTRITO FEDERAL,COYOACAN,ROMERO DE TERREROS,1,$113,$3,$915
04319,MEX,DISTRITO FEDERAL,COYOACAN,TORRES DE CHIMALISTAC,1,$113,$3,$915
04319,MEX,DISTRITO FEDERAL,COYOACAN,FORTIN DE CHIMALISTAC,1,$113,$3,$915
04320,MEX,DISTRITO FEDERAL,COYOACAN,CUADRANTE DE SAN FRANCISCO,1,$113,$3,$915
04320,MEX,DISTRITO FEDERAL,COYOACAN,PEDREGAL DE SAN FRANCISCO,1,$113,$3,$915
04326,MEX,DISTRITO FEDERAL,COYOACAN,VILLA DE SAN FRANCISCO,1,$113,$3,$915
04330,MEX,DISTRITO FEDERAL,COYOACAN,LOS REYES,1,$113,$3,$915
04330,MEX,DISTRITO FEDERAL,COYOACAN,EL ROSEDAL,1,$113,$3,$915
04330,MEX,DISTRITO FEDERAL,COYOACAN,DEL NINO JESUS,1,$113,$3,$915
04340,MEX,DISTRITO FEDERAL,COYOACAN,COPILCO EL BAJO,1,$113,$3,$915
04350,MEX,DISTRITO FEDERAL,COYOACAN,COPILCO,1,$113,$3,$915
04350,MEX,DISTRITO FEDERAL,COYOACAN,ALTILLO UNIVERSIDAD,1,$113,$3,$915
04350,MEX,DISTRITO FEDERAL,COYOACAN,ACASULCO,1,$113,$3,$915
04350,MEX,DISTRITO FEDERAL,COYOACAN,INTEGRACION LATINOAMERICANA,1,$113,$3,$915
04350,MEX,DISTRITO FEDERAL,COYOACAN,VILLAS COPILCO,1,$113,$3,$915
04359,MEX,DISTRITO FEDERAL,COYOACAN,EMPLEADOS FEDERALES,1,$113,$3,$915
04360,MEX,DISTRITO FEDERAL,COYOACAN,COPILCO EL ALTO,1,$113,$3,$915
04360,MEX,DISTRITO FEDERAL,COYOACAN,COPILCO UNIVERSIDAD,1,$113,$3,$915
04368,MEX,DISTRITO FEDERAL,COYOACAN,RESIDENCIAL LA CANTERA,1,$113,$3,$915
04369,MEX,DISTRITO FEDERAL,COYOACAN,PEDREGAL DE SANTO DOMINGO,1,$113,$3,$915
04370,MEX,DISTRITO FEDERAL,COYOACAN,ATLANTIDA,1,$113,$3,$915
04370,MEX,DISTRITO FEDERAL,COYOACAN,CIUDAD JARDIN,1,$113,$3,$915
04380,MEX,DISTRITO FEDERAL,COYOACAN,LA CANDELARIA,1,$113,$3,$915
04380,MEX,DISTRITO FEDERAL,COYOACAN,EL ROSARIO,1,$113,$3,$915
04390,MEX,DISTRITO FEDERAL,COYOACAN,NUEVA DIAZ ORDAZ,1,$113,$3,$915
04390,MEX,DISTRITO FEDERAL,COYOACAN,HUAYAMILPAS,1,$113,$3,$915
04400,MEX,DISTRITO FEDERAL,COYOACAN,EDUCACION,1,$113,$3,$915
04410,MEX,DISTRITO FEDERAL,COYOACAN,PETROLERA TAXQUENA,1,$113,$3,$915
04420,MEX,DISTRITO FEDERAL,COYOACAN,EX-EJIDO DE SAN FRANCISCO CULHUACAN,1,$113,$3,$915
